USERID	RG_case	CountryName	LanguageName	Gender	YearofBirth	Registration_date	First_Deposit_Date
7821776	1	Germany.COM	German	F	1984	1/22/2009	1/22/2009
7821179	1	Germany.COM	German	F	1979	1/22/2009	1/22/2009
7744142	1	Spain	Spanish	F	1964	1/11/2009	1/17/2009
7637533	1	United Kingdom	English	F	1981	12/23/2008	12/23/2008
7606420	1	Germany.COM	German	F	1988	12/17/2008	12/17/2008
7600109	1	Cyprus	English	F	1977	12/16/2008	12/16/2008
7462955	1	Poland	Polish	F	1990	11/25/2008	11/25/2008
7404711	1	Poland	Polish	F	1980	11/15/2008	11/17/2008
7340853	1	Portugal	Portuguese	F	1984	11/6/2008	11/6/2008
7331786	1	Greece.BAW	Greek	F	1977	11/5/2008	11/5/2008
7318774	1	Germany.COM	German	F	1986	11/3/2008	11/3/2008
7264546	1	Belgium	French	F	1982	10/27/2008	10/28/2008
7213503	1	Hungary	Hungarian	F	1975	10/20/2008	10/20/2008
7192925	1	Germany.COM	German	F	1985	10/17/2008	10/17/2008
7114723	1	Spain	Spanish	F	1974	10/3/2008	10/3/2008
7069475	1	Hungary	Hungarian	F	1990	9/25/2008	10/1/2008
6965828	1	Austria	German	F	1962	9/4/2008	9/4/2008
6951493	1	Germany.COM	German	F	1970	8/31/2008	9/1/2008
6853605	1	Germany.COM	German	F	1986	8/6/2008	8/6/2008
6826846	1	Portugal	Portuguese	F	1967	7/27/2008	7/29/2008
6797147	1	Germany.COM	German	F	1956	7/16/2008	7/21/2008
6740804	1	Netherlands	Dutch	F	1983	6/28/2008	6/28/2008
6687752	1	Germany.COM	German	F	1966	6/19/2008	6/19/2008
6641451	1	Germany.COM	German	F	1981	6/14/2008	6/18/2008
6630496	1	Switzerland	German	F	1972	6/13/2008	6/13/2008
6614616	1	France.COM	French	F	1967	6/11/2008	6/11/2008
6550161	1	Germany.COM	German	F	1986	6/7/2008	6/7/2008
6556687	1	Germany.COM	German	F	1983	6/7/2008	6/7/2008
6485628	1	Spain	Spanish	F	1954	5/27/2008	6/4/2008
6507881	1	Germany.COM	German	F	1980	6/1/2008	6/1/2008
6416020	1	France.COM	French	F	1963	5/11/2008	5/11/2008
6396582	1	Germany.COM	German	F	1949	5/7/2008	5/7/2008
6332215	1	Germany.COM	German	F	1967	4/23/2008	4/23/2008
6296284	1	Germany.COM	German	F	1980	4/15/2008	4/16/2008
6217359	1	France.COM	French	F	1978	4/1/2008	4/1/2008
6148174	1	Germany.COM	German	F	1975	3/19/2008	3/19/2008
6114396	1	Germany.COM	German	F	1976	3/13/2008	3/13/2008
6083523	1	France.COM	French	F	1980	3/8/2008	3/8/2008
6052290	1	Mexico.MX	Spanish	F	1988	3/3/2008	3/7/2008
6041782	1	Germany.COM	German	F	1981	3/2/2008	3/2/2008
5978823	1	Germany.COM	German	F	1978	2/19/2008	2/20/2008
5917254	1	France.COM	French	F	1976	2/9/2008	2/9/2008
5857632	1	Austria	German	F	1981	1/28/2008	1/28/2008
5851917	1	France.COM	French	F	1983	1/27/2008	1/27/2008
5841593	1	Germany.COM	German	F	1968	1/26/2008	1/26/2008
5846754	1	Spain	Spanish	F	1960	1/26/2008	1/26/2008
5798136	1	Germany.COM	German	F	1975	1/17/2008	1/26/2008
5810533	1	Germany.COM	German	F	1979	1/20/2008	1/20/2008
5780761	1	Denmark	English	F	1981	1/13/2008	1/13/2008
5746142	1	France.COM	French	F	1973	1/6/2008	1/6/2008
5617436	1	France.COM	French	F	1974	12/8/2007	12/8/2007
5571695	1	Germany.COM	German	F	1985	11/30/2007	11/30/2007
5494873	1	Poland	Polish	F	1969	11/14/2007	11/29/2007
5469767	1	Portugal	Portuguese	F	1975	11/9/2007	11/13/2007
5472147	1	Germany.COM	German	F	1979	11/10/2007	11/10/2007
5396402	1	Austria	German	F	1989	10/27/2007	10/27/2007
5386219	1	Germany.COM	German	F	1979	10/25/2007	10/25/2007
5308271	1	Germany.COM	German	F	1985	10/8/2007	10/22/2007
5343080	1	Germany.COM	German	F	1947	10/16/2007	10/16/2007
5299312	1	Germany.COM	German	F	1987	10/6/2007	10/6/2007
5277765	1	Germany.COM	German	F	1984	10/2/2007	10/2/2007
5226144	1	Germany.COM	German	F	1987	9/22/2007	9/22/2007
5071663	1	Spain	Spanish	F	1979	8/23/2007	9/15/2007
5171821	1	Germany.COM	German	F	1984	9/11/2007	9/11/2007
5112671	1	Germany.COM	German	F	1971	8/31/2007	8/31/2007
5070173	1	Hungary	Hungarian	F	1986	8/23/2007	8/23/2007
4602219	1	Spain	Spanish	F	1971	4/8/2007	8/18/2007
5042290	1	Germany.COM	German	F	1949	8/17/2007	8/17/2007
4909878	1	Germany.COM	German	F	1936	7/8/2007	7/8/2007
4871462	1	Austria	German	F	1954	6/22/2007	6/22/2007
4764719	1	Germany.COM	German	F	1945	5/18/2007	6/2/2007
4775118	1	France.COM	French	F	1971	5/20/2007	5/20/2007
4754125	1	Germany.COM	German	F	1940	5/15/2007	5/15/2007
4738703	1	Germany.COM	German	F	1984	5/12/2007	5/12/2007
4724793	1	Germany.COM	German	F	1962	5/8/2007	5/8/2007
4694966	1	Germany.COM	German	F	1960	5/1/2007	5/1/2007
3804873	1	Greece.BAW	Greek	F	1978	10/10/2006	4/28/2007
1280671	1	Germany.COM	German	F	1980	12/31/2004	4/22/2007
4621436	1	Switzerland	German	F	1949	4/13/2007	4/14/2007
4587239	1	France.COM	French	F	1969	4/4/2007	4/4/2007
4486087	1	Germany.COM	German	F	1983	3/11/2007	3/21/2007
4514270	1	Germany.COM	German	F	1970	3/17/2007	3/17/2007
4444971	1	France.COM	French	F	1987	3/4/2007	3/4/2007
4368709	1	France.COM	French	F	1962	2/17/2007	2/17/2007
4258218	1	Germany.COM	German	F	1968	1/24/2007	1/27/2007
4214808	1	Czech Republic	Czech	F	1976	1/12/2007	1/16/2007
4136167	1	Austria	German	F	1974	12/20/2006	12/20/2006
4086589	1	Germany.COM	German	F	1987	12/8/2006	12/8/2006
3912148	1	Germany.COM	German	F	1980	11/1/2006	11/1/2006
3833071	1	Germany.COM	German	F	1985	10/16/2006	10/16/2006
3337667	1	Germany.COM	German	F	1983	6/29/2006	8/14/2006
3424027	1	Germany.COM	German	F	1975	7/6/2006	7/11/2006
3211029	1	Austria	German	F	1982	6/19/2006	6/19/2006
3208357	1	Luxembourg	French	F	1972	6/19/2006	6/19/2006
3123449	1	Germany.COM	German	F	1952	6/13/2006	6/19/2006
3153074	1	Germany.COM	German	F	1983	6/15/2006	6/15/2006
2732585	1	Germany.COM	German	F	1968	4/1/2006	6/10/2006
2962326	1	Germany.COM	German	F	1986	5/31/2006	5/31/2006
2609261	1	Poland	Polish	F	1971	3/9/2006	5/19/2006
2633677	1	Germany.COM	German	F	1985	3/12/2006	5/16/2006
2840190	1	Slovakia	Slovak	F	1970	4/29/2006	4/29/2006
2064874	1	Austria	German	F	1982	10/26/2005	4/18/2006
2787151	1	Germany.COM	German	F	1948	4/14/2006	4/14/2006
2742218	1	Germany.COM	German	F	1954	4/3/2006	4/3/2006
2732649	1	Germany.COM	German	F	1977	4/1/2006	4/1/2006
2566614	1	Italy.BAW	Italian	F	1974	3/1/2006	3/1/2006
2101393	1	Germany.COM	German	F	1987	11/4/2005	2/5/2006
2367866	1	Germany.COM	German	F	1977	1/15/2006	1/15/2006
2109792	1	Germany.COM	German	F	1961	11/6/2005	1/10/2006
2107517	1	Poland	Polish	F	1980	11/5/2005	11/8/2005
2109844	1	Czech Republic	Czech	F	1974	11/6/2005	11/6/2005
2048423	1	Austria	German	F	1986	10/22/2005	10/28/2005
1898064	1	Poland	Polish	F	1986	9/16/2005	9/20/2005
1402736	1	Germany.COM	German	F	1980	2/28/2005	9/14/2005
1759742	1	Germany.COM	German	F	1979	8/2/2005	9/13/2005
1862652	1	Greece.BTO	Greek	F	1962	9/8/2005	9/8/2005
1740517	1	Germany.COM	German	F	1974	7/22/2005	7/22/2005
1690828	1	Germany.COM	German	F	1959	6/24/2005	6/24/2005
1560024	1	Austria	German	F	1939	4/25/2005	6/15/2005
1646641	1	Germany.COM	German	F	1970	5/30/2005	5/30/2005
1614409	1	Germany.COM	German	F	1979	5/15/2005	5/15/2005
1600042	1	Poland	Polish	F	1955	5/9/2005	5/11/2005
1601397	1	Germany.COM	German	F	1980	5/10/2005	5/10/2005
1383267	1	Austria	German	F	1985	2/22/2005	2/22/2005
1033839	1	Germany.COM	German	F	1983	6/11/2004	2/12/2005
1343436	1	Germany.COM	German	F	1974	2/8/2005	2/11/2005
1323207	1	Austria	German	F	1985	1/31/2005	2/5/2005
1143257	1	Germany.COM	German	F	1981	9/16/2004	1/21/2005
551872	1	Germany.COM	German	F	1958	7/4/2002	7/4/2002
9822269	0	Poland	Polish	F	1985	11/21/2009	11/21/2009
9818808	0	.	.	F	 	 	11/20/2009
9786180	0	Germany.COM	German	F	1985	11/14/2009	11/14/2009
9696994	0	France.COM	French	F	1984	10/31/2009	10/31/2009
9670967	0	Germany.COM	German	F	1958	10/26/2009	10/26/2009
9618154	0	Germany.COM	German	F	1986	10/18/2009	10/18/2009
9474283	0	Netherlands	Dutch	F	1987	9/26/2009	9/26/2009
9455216	0	.	.	F	 	 	9/23/2009
9445647	0	Switzerland	German	F	1978	9/22/2009	9/22/2009
9442092	0	.	.	F	 	 	9/22/2009
9388566	0	Lithuania	Russian	F	1963	9/14/2009	9/17/2009
9370323	0	Germany.COM	German	F	1987	9/12/2009	9/12/2009
9305300	0	Germany.COM	German	F	1978	9/2/2009	9/2/2009
9215152	0	Poland	Polish	F	1983	8/19/2009	8/19/2009
9153784	0	Greece.BAW	Greek	F	1979	8/8/2009	8/8/2009
9069584	0	Poland	Polish	F	1978	7/22/2009	7/22/2009
8960578	0	.	.	F	 	 	7/7/2009
8987767	0	Russian Federation	Russian	F	1981	7/5/2009	7/5/2009
8965624	0	.	.	F	 	 	7/3/2009
8751962	0	Spain	Spanish	F	1986	5/21/2009	5/21/2009
8745162	0	Romania	Romanian	F	1988	5/20/2009	5/20/2009
8705144	0	Germany.COM	German	F	1972	5/14/2009	5/20/2009
8597691	0	Portugal	Portuguese	F	1963	4/29/2009	5/18/2009
8727619	0	Bulgaria	Bulgarian	F	1983	5/17/2009	5/17/2009
8702871	0	Portugal	Portuguese	F	1958	5/13/2009	5/14/2009
8675384	0	United Kingdom	English	F	1977	5/10/2009	5/10/2009
8634032	0	United Kingdom	English	F	1976	5/4/2009	5/6/2009
8483914	0	Germany.COM	German	F	1987	4/16/2009	4/16/2009
8382370	0	Germany.COM	German	F	1971	4/4/2009	4/4/2009
8353493	0	Romania	Romanian	F	1984	3/31/2009	3/31/2009
8227916	0	Germany.COM	German	F	1960	3/16/2009	3/16/2009
8142628	0	Netherlands	Dutch	F	1979	3/7/2009	3/14/2009
8190293	0	Portugal	Portuguese	F	1969	3/12/2009	3/12/2009
8164928	0	Romania	English	F	1988	3/10/2009	3/10/2009
8150850	0	Portugal	Portuguese	F	1980	3/8/2009	3/8/2009
8088487	0	Spain	Spanish	F	1984	3/1/2009	3/1/2009
8059124	0	France.COM	French	F	1987	2/25/2009	2/25/2009
8020806	0	Germany.COM	German	F	1981	2/20/2009	2/25/2009
7938885	0	Spain	Spanish	F	1986	2/8/2009	2/8/2009
7911769	0	Greece.BAW	Greek	F	1963	2/4/2009	2/4/2009
7866773	0	France.COM	French	F	1983	1/29/2009	1/30/2009
7867174	0	Romania	Romanian	F	1988	1/29/2009	1/29/2009
7830685	0	United Kingdom	English	F	1985	1/24/2009	1/24/2009
7783965	0	Germany.COM	German	F	1961	1/17/2009	1/17/2009
7705233	0	Germany.COM	German	F	1983	1/4/2009	1/4/2009
7563659	0	Spain	Spanish	F	1952	12/10/2008	12/10/2008
7429868	0	France.COM	French	F	1982	11/19/2008	11/19/2008
7349424	0	Germany.COM	German	F	1955	11/7/2008	11/7/2008
7320210	0	.	.	F	 	 	11/5/2008
7267113	0	Germany.COM	German	F	1985	10/27/2008	10/27/2008
7135625	0	.	.	F	 	 	10/21/2008
2640595	0	Spain	Spanish	F	1977	3/14/2006	10/12/2008
7149989	0	.	.	F	 	 	10/9/2008
7025066	0	Hungary	Hungarian	F	1970	9/17/2008	9/26/2008
7035143	0	.	.	F	 	 	9/19/2008
6980813	0	Portugal	Portuguese	F	1953	9/8/2008	9/9/2008
6959078	0	Germany.COM	German	F	1981	9/2/2008	9/2/2008
3878333	0	Romania	Romanian	F	1958	10/25/2006	8/26/2008
6913085	0	Romania	Romanian	F	1983	8/23/2008	8/24/2008
6902992	0	Czech Republic	Czech	F	1985	8/21/2008	8/22/2008
6904157	0	Germany.COM	German	F	1985	8/21/2008	8/21/2008
6867192	0	Switzerland	German	F	1983	8/10/2008	8/10/2008
6802741	0	Poland	Polish	F	1981	7/18/2008	7/18/2008
6767703	0	Germany.COM	German	F	1988	7/5/2008	7/5/2008
4070137	0	Romania	Hungarian	F	1980	12/4/2006	7/1/2008
6739125	0	Germany.COM	German	F	1959	6/27/2008	6/27/2008
6732031	0	Spain	Spanish	F	1982	6/26/2008	6/26/2008
6676282	0	Romania	Romanian	F	1967	6/18/2008	6/18/2008
6586468	0	Germany.COM	German	F	1965	6/9/2008	6/9/2008
6583277	0	.	.	F	 	 	6/9/2008
6560734	0	Germany.COM	German	F	1988	6/7/2008	6/7/2008
6551142	0	Germany.COM	German	F	1979	6/7/2008	6/7/2008
6541366	0	Switzerland	German	F	1971	6/6/2008	6/6/2008
6461754	0	Portugal	Portuguese	F	1988	5/22/2008	5/22/2008
6434427	0	Germany.COM	German	F	1980	5/16/2008	5/16/2008
6428756	0	Greece.BAW	Greek	F	1984	5/15/2008	5/15/2008
6408486	0	Germany.COM	German	F	1970	5/10/2008	5/10/2008
6282620	0	Germany.COM	German	F	1947	4/13/2008	4/13/2008
2040251	0	Poland	Polish	F	1978	10/21/2005	4/4/2008
6205827	0	Slovakia	Slovak	F	1957	3/30/2008	3/30/2008
6193392	0	United Kingdom	English	F	1981	3/28/2008	3/28/2008
6125692	0	Austria	German	F	1969	3/15/2008	3/15/2008
5394392	0	Germany.COM	German	F	1964	10/26/2007	3/15/2008
6074204	0	Germany.COM	German	F	1977	3/7/2008	3/7/2008
6061003	0	Greece.BAW	Greek	F	1970	3/5/2008	3/5/2008
6046997	0	Poland	Polish	F	1989	3/2/2008	3/4/2008
6007749	0	Spain	Spanish	F	1980	2/24/2008	2/24/2008
5988895	0	Germany.COM	German	F	1988	2/21/2008	2/21/2008
5847658	0	Australia	English	F	1985	1/27/2008	2/20/2008
5967776	0	Romania	Romanian	F	1960	2/18/2008	2/18/2008
5858239	0	Ukraine	Russian	F	1969	1/28/2008	1/28/2008
5716801	0	Poland	Polish	F	1967	12/29/2007	12/29/2007
5674794	0	Germany.COM	German	F	1979	12/19/2007	12/19/2007
5653968	0	Portugal	Portuguese	F	1983	12/15/2007	12/15/2007
5598776	0	Germany.COM	German	F	1960	12/5/2007	12/5/2007
5549292	0	France.COM	French	F	1980	11/26/2007	11/26/2007
5531889	0	Germany.COM	German	F	1989	11/22/2007	11/22/2007
5439947	0	.	.	F	 	 	11/13/2007
5478413	0	Germany.COM	German	F	1961	11/11/2007	11/11/2007
5388241	0	.	.	F	 	 	10/27/2007
5357336	0	France.COM	French	F	1954	10/19/2007	10/19/2007
5313473	0	Spain	Spanish	F	1973	10/9/2007	10/16/2007
5296662	0	Norway	Norwegian	F	1979	10/6/2007	10/6/2007
5297908	0	Spain	Spanish	F	1973	10/6/2007	10/6/2007
5229055	0	Germany.COM	German	F	1985	9/23/2007	9/23/2007
5224306	0	.	.	F	 	 	9/22/2007
5163709	0	Germany.COM	German	F	1960	9/9/2007	9/17/2007
5149047	0	Slovenia	Slovenian	F	1983	9/6/2007	9/6/2007
5086640	0	Germany.COM	German	F	1982	8/26/2007	8/26/2007
5072901	0	Poland	Polish	F	1967	8/24/2007	8/24/2007
3338839	0	.	.	F	 	 	7/29/2007
4936637	0	Russian Federation	Russian	F	1962	7/18/2007	7/18/2007
4917464	0	Portugal	Portuguese	F	1982	7/11/2007	7/11/2007
4911519	0	Portugal	Portuguese	F	1981	7/8/2007	7/8/2007
4790949	0	Hungary	Hungarian	F	1979	5/24/2007	5/28/2007
4779210	0	Spain	Spanish	F	1965	5/21/2007	5/21/2007
4728720	0	Slovakia	Slovak	F	1958	5/9/2007	5/9/2007
4690079	0	Germany.COM	German	F	1956	4/30/2007	5/3/2007
4608241	0	.	.	F	 	 	5/1/2007
4651839	0	France.COM	French	F	1979	4/21/2007	4/22/2007
4578985	0	Portugal	English	F	1967	4/2/2007	4/2/2007
4485120	0	Poland	Polish	F	1952	3/11/2007	3/13/2007
4461152	0	Germany.COM	German	F	1954	3/7/2007	3/7/2007
4445665	0	Germany.COM	German	F	1955	3/4/2007	3/4/2007
4364693	0	Poland	Polish	F	1987	2/16/2007	2/21/2007
4343190	0	Germany.COM	German	F	1951	2/11/2007	2/11/2007
4339987	0	Germany.COM	German	F	1983	2/10/2007	2/10/2007
4272634	0	Portugal	English	F	1971	1/27/2007	1/27/2007
4174932	0	.	.	F	 	 	1/26/2007
4212210	0	Germany.COM	German	F	1959	1/12/2007	1/14/2007
4202311	0	Germany.COM	German	F	1986	1/9/2007	1/9/2007
3740262	0	Austria	German	F	1966	9/24/2006	1/3/2007
4123951	0	Germany.COM	German	F	1978	12/17/2006	12/17/2006
4046251	0	Poland	Polish	F	1982	11/29/2006	12/1/2006
4039020	0	Germany.COM	German	F	1982	11/27/2006	11/27/2006
3992162	0	Germany.COM	German	F	1963	11/18/2006	11/18/2006
3935764	0	Germany.COM	German	F	1980	11/6/2006	11/6/2006
3900386	0	Germany.COM	German	F	1968	10/30/2006	11/4/2006
3831718	0	Germany.COM	German	F	1970	10/16/2006	10/18/2006
3658458	0	Germany.COM	German	F	1949	9/6/2006	9/6/2006
3555676	0	Poland	Polish	F	1979	8/13/2006	8/20/2006
3555420	0	Poland	Polish	F	1949	8/13/2006	8/13/2006
3113788	0	Germany.COM	German	F	1947	6/13/2006	8/9/2006
3430392	0	Spain	Spanish	F	1972	7/7/2006	8/2/2006
3509547	0	Germany.COM	German	F	1964	7/30/2006	7/30/2006
3492657	0	Germany.COM	German	F	1947	7/23/2006	7/23/2006
3477030	0	Germany.COM	German	F	1983	7/16/2006	7/18/2006
3430600	0	Germany.COM	German	F	1988	7/7/2006	7/11/2006
3431662	0	Portugal	Portuguese	F	1983	7/7/2006	7/10/2006
3371560	0	Germany.COM	German	F	1957	7/2/2006	7/5/2006
3335950	0	Germany.COM	German	F	1955	6/29/2006	6/29/2006
3298410	0	Germany.COM	German	F	1980	6/26/2006	6/29/2006
3306270	0	Poland	Polish	F	1974	6/26/2006	6/28/2006
3297442	0	Germany.COM	German	F	1975	6/25/2006	6/27/2006
3307308	0	Germany.COM	German	F	1986	6/26/2006	6/26/2006
3292295	0	Germany.COM	German	F	1969	6/25/2006	6/25/2006
3078557	0	Germany.COM	German	F	1960	6/11/2006	6/21/2006
3196150	0	France.COM	French	F	1984	6/18/2006	6/18/2006
3079149	0	Belgium	Dutch	F	1954	6/11/2006	6/14/2006
3034437	0	Germany.COM	German	F	1983	6/9/2006	6/9/2006
1687563	0	Germany.COM	German	F	1981	6/22/2005	6/3/2006
2927797	0	Poland	Polish	F	1981	5/23/2006	5/23/2006
2670782	0	Germany.COM	German	F	1987	3/20/2006	5/16/2006
2676974	0	Germany.COM	German	F	1981	3/21/2006	5/11/2006
2846850	0	Czech Republic	Czech	F	1979	5/1/2006	5/4/2006
2825354	0	Belgium	Dutch	F	1975	4/25/2006	4/28/2006
2824386	0	Portugal	Portuguese	F	1976	4/25/2006	4/25/2006
2794269	0	Germany.COM	German	F	1982	4/16/2006	4/20/2006
2790410	0	Germany.COM	German	F	1983	4/15/2006	4/15/2006
2784916	0	Germany.COM	German	F	1976	4/13/2006	4/13/2006
2691514	0	Germany.COM	German	F	1959	3/24/2006	3/28/2006
2294237	0	Denmark	English	F	1985	12/22/2005	3/23/2006
2514412	0	Germany.COM	German	F	1981	2/18/2006	3/1/2006
2513899	0	Germany.COM	German	F	1985	2/18/2006	2/22/2006
2378672	0	Greece.BAW	Greek	F	1968	1/18/2006	1/29/2006
2392977	0	Spain	Spanish	F	1977	1/22/2006	1/28/2006
2394146	0	Poland	Polish	F	1981	1/22/2006	1/26/2006
2347760	0	Germany.COM	German	F	1984	1/9/2006	1/12/2006
2210106	0	Germany.COM	German	F	1963	11/30/2005	11/30/2005
2196763	0	Germany.COM	German	F	1978	11/27/2005	11/30/2005
1740466	0	Germany.COM	German	F	1968	7/22/2005	11/30/2005
2173193	0	Portugal	Portuguese	F	1977	11/23/2005	11/23/2005
2118301	0	Italy.BAW	Italian	F	1986	11/8/2005	11/11/2005
2115515	0	Austria	German	F	1985	11/7/2005	11/7/2005
2115361	0	Spain	Spanish	F	1977	11/7/2005	11/7/2005
2067210	0	Spain	Spanish	F	1984	10/27/2005	11/4/2005
1448980	0	Poland	Polish	F	1985	3/15/2005	10/28/2005
1838672	0	.	.	F	 	 	10/17/2005
1983077	0	Germany.COM	German	F	1983	10/6/2005	10/13/2005
1983307	0	Germany.COM	German	F	1962	10/6/2005	10/6/2005
1839073	0	France.COM	French	F	1984	8/31/2005	9/27/2005
1879337	0	Germany.COM	German	F	1948	9/13/2005	9/15/2005
1229500	0	Poland	Polish	F	1967	11/20/2004	9/6/2005
1822211	0	Poland	Polish	F	1985	8/26/2005	9/1/2005
486829	0	Sweden	Swedish	F	1973	6/11/2002	8/31/2005
459701	0	Germany.COM	German	F	1957	6/1/2002	8/30/2005
502856	0	Germany.COM	German	F	1969	6/15/2002	8/29/2005
1787650	0	Germany.COM	German	F	1983	8/14/2005	8/17/2005
1791309	0	Germany.COM	German	F	1949	8/16/2005	8/16/2005
1448743	0	Austria	German	F	1978	3/15/2005	7/29/2005
1739322	0	Poland	Polish	F	1958	7/21/2005	7/22/2005
1720080	0	Germany.COM	German	F	1965	7/7/2005	7/7/2005
1717825	0	Germany.COM	German	F	1953	7/5/2005	7/5/2005
1704694	0	.	.	F	 	 	6/28/2005
1677419	0	Turkey	Turkish	F	1980	6/17/2005	6/17/2005
1374185	0	Turkey	Turkish	F	1957	2/20/2005	5/24/2005
121115	0	Austria	German	F	1981	8/22/2000	5/22/2005
1622589	0	Australia	English	F	1970	5/19/2005	5/19/2005
1594288	0	Germany.COM	German	F	1975	5/7/2005	5/7/2005
1590556	0	Germany.COM	German	F	1965	5/6/2005	5/6/2005
1556539	0	Germany.COM	German	F	1981	4/24/2005	4/29/2005
1555809	0	Germany.COM	German	F	1962	4/24/2005	4/24/2005
411144	0	Sweden	Swedish	F	1983	2/27/2002	4/22/2005
1415558	0	Germany.COM	German	F	1971	3/4/2005	3/9/2005
1412349	0	Germany.COM	German	F	1972	3/3/2005	3/8/2005
1416109	0	Germany.COM	German	F	1978	3/4/2005	3/4/2005
1403471	0	Denmark	English	F	1972	2/28/2005	2/28/2005
1364138	0	Germany.COM	German	F	1960	2/16/2005	2/19/2005
1357532	0	Germany.COM	German	F	1972	2/14/2005	2/19/2005
1361415	0	Germany.COM	German	F	1979	2/15/2005	2/18/2005
1190696	0	Germany.COM	German	F	1962	10/24/2004	2/12/2005
1277143	0	Germany.COM	German	F	1970	12/27/2004	2/6/2005
1325161	0	Austria	German	F	1969	2/1/2005	2/1/2005
1263607	0	Germany.COM	German	F	1985	12/15/2004	12/23/2004
1166481	0	Austria	German	F	1979	10/2/2004	10/2/2004
1066411	0	Turkey	Turkish	F	1963	6/24/2004	9/15/2004
1065425	0	Germany.COM	German	F	1986	6/23/2004	6/26/2004
233644	0	Austria	English	F	1973	4/2/2001	6/26/2004
465623	0	Austria	German	F	1980	6/3/2002	6/14/2004
100167	0	Austria	German	F	1976	6/29/2000	2/14/2002
9858876	1	Belgium	Dutch	M	1978	11/27/2009	11/27/2009
9758033	1	Germany.COM	German	M	1971	11/9/2009	11/21/2009
9820476	1	Poland	Polish	M	1985	11/20/2009	11/20/2009
9807483	1	Poland	Polish	M	1983	11/18/2009	11/18/2009
6234418	1	Greece.BAW	Greek	M	1976	4/5/2008	11/14/2009
9753172	1	Spain	Spanish	M	1991	11/8/2009	11/8/2009
9742498	1	Germany.COM	German	M	1980	11/7/2009	11/7/2009
9723694	1	Germany.COM	German	M	1987	11/4/2009	11/6/2009
9696651	1	Germany.COM	German	M	1986	10/31/2009	10/31/2009
9693096	1	Denmark	English	M	1988	10/30/2009	10/30/2009
9342005	1	Poland	Polish	M	1989	9/8/2009	10/30/2009
9678195	1	Germany.COM	German	M	1991	10/28/2009	10/28/2009
9678591	1	United Kingdom	English	M	1948	10/28/2009	10/28/2009
9673702	1	France.COM	French	M	1979	10/27/2009	10/27/2009
9668315	1	Belgium	Dutch	M	1982	10/26/2009	10/26/2009
3455439	1	Poland	Polish	M	1979	7/9/2006	10/24/2009
9651241	1	Poland	English	M	1987	10/23/2009	10/23/2009
9648676	1	Russian Federation	Russian	M	1958	10/23/2009	10/23/2009
4031908	1	Germany.COM	German	M	1987	11/26/2006	10/23/2009
9642660	1	Poland	Polish	M	1990	10/22/2009	10/22/2009
